Total_Passengers,TIME
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
9,15
9,16
9,17
9,18
8,19
0,20
0,21
0,22
2,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
8,55
8,56
8,57
8,58
8,59
8,60
8,61
9,62
9,63
9,64
9,65
9,66
9,67
9,68
9,69
9,70
9,71
9,72
9,73
10,74
10,75
10,76
10,77
10,78
10,79
10,80
10,81
10,82
10,83
10,84
0,85
0,86
0,87
10,88
10,89
10,90
10,91
10,92
10,93
10,94
10,95
10,96
10,97
10,98
10,99
10,100
10,101
10,102
10,103
10,104
10,105
10,106
10,107
10,108
10,109
0,110
0,111
0,112
8,113
9,114
9,115
9,116
9,117
9,118
9,119
9,120
9,121
9,122
9,123
9,124
9,125
9,126
9,127
9,128
9,129
9,130
9,131
10,132
10,133
10,134
10,135
10,136
10,137
10,138
11,139
0,140
0,141
3,142
11,143
12,144
12,145
12,146
12,147
13,148
13,149
13,150
14,151
14,152
14,153
15,154
15,155
16,156
16,157
16,158
17,159
0,160
5,161
18,162
19,163
19,164
20,165
20,166
21,167
21,168
22,169
22,170
23,171
23,172
24,173
24,174
25,175
25,176
26,177
27,178
27,179
0,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
0,189
0,190
0,191
0,192
0,193
0,194
35,195
36,196
36,197
36,198
37,199
7,200
37,201
38,202
38,203
38,204
38,205
39,206
39,207
39,208
39,209
39,210
39,211
40,212
40,213
40,214
40,215
40,216
40,217
40,218
40,219
0,220
19,221
39,222
39,223
39,224
39,225
39,226
39,227
39,228
38,229
38,230
38,231
38,232
38,233
37,234
37,235
37,236
37,237
37,238
36,239
6,240
36,241
36,242
35,243
35,244
35,245
35,246
35,247
34,248
34,249
34,250
34,251
34,252
33,253
33,254
33,255
33,256
33,257
33,258
32,259
2,260
32,261
32,262
32,263
32,264
32,265
32,266
32,267
32,268
32,269
31,270
31,271
31,272
31,273
31,274
31,275
31,276
31,277
31,278
32,279
0,280
4,281
32,282
32,283
32,284
32,285
32,286
32,287
32,288
32,289
32,290
32,291
32,292
32,293
32,294
33,295
33,296
33,297
33,298
33,299
0,300
0,301
9,302
33,303
33,304
33,305
33,306
33,307
34,308
34,309
34,310
34,311
34,312
34,313
34,314
34,315
34,316
34,317
34,318
34,319
4,320
34,321
34,322
34,323
34,324
34,325
34,326
34,327
33,328
33,329
33,330
33,331
33,332
33,333
33,334
33,335
33,336
32,337
32,338
32,339
0,340
4,341
32,342
32,343
31,344
31,345
31,346
31,347
31,348
30,349
30,350
30,351
30,352
30,353
29,354
29,355
29,356
29,357
29,358
28,359
0,360
0,361
24,362
27,363
27,364
0,365
24,366
27,367
26,368
26,369
26,370
26,371
26,372
25,373
25,374
25,375
25,376
25,377
24,378
24,379
0,380
18,381
24,382
24,383
23,384
23,385
23,386
23,387
23,388
23,389
0,390
0,391
7,392
22,393
22,394
22,395
22,396
22,397
22,398
22,399
0,400
0,401
6,402
22,403
22,404
22,405
21,406
21,407
21,408
21,409
21,410
21,411
21,412
21,413
21,414
21,415
21,416
21,417
22,418
22,419
0,420
14,421
22,422
22,423
22,424
22,425
22,426
22,427
22,428
22,429
0,430
0,431
6,432
22,433
22,434
0,435
14,436
22,437
23,438
23,439
23,440
23,441
23,442
23,443
23,444
23,445
23,446
23,447
23,448
24,449
0,450
0,451
0,452
6,453
24,454
24,455
24,456
24,457
24,458
25,459
25,460
25,461
25,462
25,463
25,464
0,465
0,466
15,467
25,468
25,469
25,470
25,471
25,472
25,473
25,474
25,475
25,476
25,477
25,478
25,479
25,480
25,481
25,482
25,483
25,484
0,485
20,486
25,487
25,488
24,489
0,490
0,491
0,492
0,493
0,494
0,495
0,496
0,497
0,498
0,499
0,500
0,501
0,502
0,503
0,504
0,505
14,506
22,507
22,508
22,509
22,510
21,511
21,512
21,513
21,514
21,515
21,516
21,517
21,518
21,519
21,520
21,521
21,522
21,523
21,524
0,525
0,526
3,527
21,528
21,529
0,530
12,531
21,532
21,533
21,534
21,535
21,536
21,537
21,538
21,539
0,540
12,541
21,542
21,543
21,544
21,545
21,546
