Total_Passengers,TIME
3.0,0
3.0,1
3.0,2
3.0,3
3.0,4
3.0,5
3.0,6
3.0,7
3.0,8
3.0,9
3.0,10
3.0,11
3.0,12
3.0,13
3.0,14
3.0,15
3.0,16
3.0,17
3.0,18
2.0,19
2.0,20
2.0,21
2.0,22
2.0,23
2.0,24
2.0,25
2.0,26
2.0,27
2.0,28
2.0,29
2.0,30
2.0,31
2.0,32
2.0,33
2.0,34
2.0,35
2.0,36
2.0,37
2.0,38
2.0,39
2.0,40
2.0,41
2.0,42
2.0,43
2.0,44
2.0,45
2.0,46
2.0,47
2.0,48
2.0,49
2.0,50
2.0,51
2.0,52
2.0,53
2.0,54
2.0,55
2.0,56
2.0,57
2.0,58
2.0,59
2.0,60
2.0,61
3.0,62
3.0,63
3.0,64
3.0,65
3.0,66
3.0,67
3.0,68
3.0,69
3.0,70
3.0,71
3.0,72
3.0,73
3.0,74
3.0,75
3.0,76
3.0,77
3.0,78
3.0,79
3.0,80
3.0,81
3.0,82
3.0,83
3.0,84
3.0,85
3.0,86
3.0,87
3.0,88
3.0,89
3.0,90
3.0,91
3.0,92
3.0,93
3.0,94
3.0,95
3.0,96
3.0,97
3.0,98
3.0,99
3.0,100
3.0,101
3.0,102
3.0,103
3.0,104
3.0,105
3.0,106
3.0,107
3.0,108
3.0,109
3.0,110
3.0,111
3.0,112
3.0,113
3.0,114
3.0,115
3.0,116
3.0,117
3.0,118
3.0,119
3.0,120
3.0,121
3.0,122
3.0,123
3.0,124
3.0,125
3.0,126
3.0,127
3.0,128
3.0,129
3.0,130
3.0,131
3.0,132
3.0,133
3.0,134
3.0,135
3.0,136
3.0,137
3.0,138
3.0,139
3.0,140
3.0,141
3.0,142
3.0,143
4.0,144
4.0,145
4.0,146
4.0,147
4.0,148
4.0,149
4.0,150
4.0,151
4.0,152
4.0,153
4.0,154
4.0,155
5.0,156
5.0,157
5.0,158
5.0,159
5.0,160
5.0,161
5.0,162
6.0,163
6.0,164
6.0,165
6.0,166
6.0,167
6.0,168
7.0,169
7.0,170
7.0,171
7.0,172
7.0,173
7.0,174
8.0,175
8.0,176
8.0,177
8.0,178
8.0,179
8.0,180
8.0,181
9.0,182
9.0,183
9.0,184
9.0,185
9.0,186
9.0,187
10.0,188
10.0,189
10.0,190
10.0,191
10.0,192
10.0,193
10.0,194
10.0,195
11.0,196
11.0,197
11.0,198
11.0,199
11.0,200
11.0,201
11.0,202
11.0,203
11.0,204
11.0,205
12.0,206
12.0,207
12.0,208
12.0,209
12.0,210
12.0,211
12.0,212
12.0,213
12.0,214
12.0,215
12.0,216
12.0,217
12.0,218
12.0,219
12.0,220
12.0,221
12.0,222
12.0,223
12.0,224
12.0,225
12.0,226
12.0,227
12.0,228
11.0,229
11.0,230
11.0,231
11.0,232
11.0,233
11.0,234
11.0,235
11.0,236
11.0,237
11.0,238
11.0,239
11.0,240
11.0,241
11.0,242
10.0,243
10.0,244
10.0,245
10.0,246
10.0,247
10.0,248
10.0,249
10.0,250
10.0,251
10.0,252
10.0,253
10.0,254
10.0,255
10.0,256
10.0,257
10.0,258
10.0,259
10.0,260
10.0,261
10.0,262
10.0,263
10.0,264
10.0,265
10.0,266
10.0,267
10.0,268
10.0,269
9.0,270
9.0,271
9.0,272
9.0,273
9.0,274
9.0,275
9.0,276
9.0,277
9.0,278
10.0,279
10.0,280
10.0,281
10.0,282
10.0,283
10.0,284
10.0,285
10.0,286
10.0,287
10.0,288
10.0,289
10.0,290
10.0,291
10.0,292
10.0,293
10.0,294
10.0,295
10.0,296
10.0,297
10.0,298
10.0,299
10.0,300
10.0,301
10.0,302
10.0,303
10.0,304
10.0,305
10.0,306
10.0,307
10.0,308
10.0,309
10.0,310
10.0,311
10.0,312
10.0,313
10.0,314
10.0,315
10.0,316
10.0,317
10.0,318
10.0,319
10.0,320
10.0,321
10.0,322
10.0,323
10.0,324
10.0,325
10.0,326
10.0,327
10.0,328
10.0,329
10.0,330
10.0,331
10.0,332
10.0,333
10.0,334
10.0,335
10.0,336
10.0,337
10.0,338
10.0,339
10.0,340
10.0,341
10.0,342
10.0,343
9.0,344
9.0,345
9.0,346
9.0,347
9.0,348
9.0,349
9.0,350
9.0,351
9.0,352
9.0,353
9.0,354
9.0,355
9.0,356
9.0,357
9.0,358
8.0,359
8.0,360
8.0,361
8.0,362
8.0,363
8.0,364
8.0,365
8.0,366
8.0,367
8.0,368
8.0,369
8.0,370
8.0,371
8.0,372
8.0,373
8.0,374
8.0,375
8.0,376
8.0,377
7.0,378
7.0,379
7.0,380
7.0,381
7.0,382
7.0,383
7.0,384
7.0,385
7.0,386
7.0,387
7.0,388
7.0,389
7.0,390
7.0,391
7.0,392
7.0,393
7.0,394
7.0,395
7.0,396
7.0,397
7.0,398
7.0,399
7.0,400
7.0,401
7.0,402
7.0,403
7.0,404
7.0,405
6.0,406
6.0,407
6.0,408
6.0,409
6.0,410
6.0,411
6.0,412
6.0,413
6.0,414
6.0,415
6.0,416
6.0,417
7.0,418
7.0,419
7.0,420
7.0,421
7.0,422
7.0,423
7.0,424
7.0,425
7.0,426
7.0,427
7.0,428
7.0,429
7.0,430
7.0,431
7.0,432
7.0,433
7.0,434
7.0,435
7.0,436
7.0,437
7.0,438
7.0,439
7.0,440
7.0,441
7.0,442
7.0,443
7.0,444
7.0,445
7.0,446
7.0,447
7.0,448
7.0,449
7.0,450
7.0,451
7.0,452
7.0,453
7.0,454
7.0,455
7.0,456
7.0,457
7.0,458
8.0,459
8.0,460
8.0,461
8.0,462
8.0,463
8.0,464
8.0,465
8.0,466
8.0,467
8.0,468
8.0,469
8.0,470
8.0,471
8.0,472
8.0,473
8.0,474
8.0,475
8.0,476
8.0,477
8.0,478
8.0,479
8.0,480
8.0,481
8.0,482
8.0,483
8.0,484
8.0,485
8.0,486
8.0,487
8.0,488
7.0,489
7.0,490
7.0,491
7.0,492
7.0,493
7.0,494
7.0,495
7.0,496
7.0,497
7.0,498
7.0,499
7.0,500
7.0,501
7.0,502
7.0,503
7.0,504
7.0,505
7.0,506
7.0,507
7.0,508
7.0,509
7.0,510
6.0,511
6.0,512
6.0,513
6.0,514
6.0,515
6.0,516
6.0,517
6.0,518
6.0,519
6.0,520
6.0,521
6.0,522
6.0,523
6.0,524
6.0,525
6.0,526
6.0,527
6.0,528
6.0,529
6.0,530
6.0,531
6.0,532
6.0,533
6.0,534
6.0,535
6.0,536
6.0,537
6.0,538
6.0,539
6.0,540
6.0,541
6.0,542
6.0,543
6.0,544
6.0,545
6.0,546
7.0,547
7.0,548
7.0,549
7.0,550
7.0,551
7.0,552
7.0,553
7.0,554
7.0,555
7.0,556
7.0,557
7.0,558
7.0,559
7.0,560
7.0,561
7.0,562
7.0,563
7.0,564
7.0,565
7.0,566
7.0,567
7.0,568
7.0,569
7.0,570
7.0,571
7.0,572
7.0,573
7.0,574
8.0,575
8.0,576
8.0,577
8.0,578
8.0,579
8.0,580
8.0,581
8.0,582
8.0,583
8.0,584
8.0,585
8.0,586
8.0,587
8.0,588
8.0,589
8.0,590
8.0,591
8.0,592
8.0,593
8.0,594
8.0,595
8.0,596
8.0,597
8.0,598
8.0,599
8.0,600
8.0,601
8.0,602
9.0,603
9.0,604
9.0,605
9.0,606
9.0,607
9.0,608
9.0,609
9.0,610
9.0,611
9.0,612
9.0,613
9.0,614
9.0,615
9.0,616
9.0,617
9.0,618
9.0,619
9.0,620
9.0,621
9.0,622
9.0,623
9.0,624
9.0,625
9.0,626
9.0,627
9.0,628
9.0,629
9.0,630
9.0,631
9.0,632
9.0,633
9.0,634
9.0,635
9.0,636
9.0,637
9.0,638
9.0,639
9.0,640
8.0,641
8.0,642
8.0,643
8.0,644
8.0,645
8.0,646
8.0,647
8.0,648
8.0,649
8.0,650
8.0,651
8.0,652
8.0,653
8.0,654
8.0,655
8.0,656
8.0,657
8.0,658
8.0,659
8.0,660
7.0,661
7.0,662
7.0,663
7.0,664
7.0,665
7.0,666
7.0,667
7.0,668
7.0,669
7.0,670
7.0,671
7.0,672
7.0,673
7.0,674
7.0,675
7.0,676
7.0,677
7.0,678
7.0,679
7.0,680
6.0,681
6.0,682
6.0,683
6.0,684
6.0,685
6.0,686
6.0,687
6.0,688
6.0,689
6.0,690
6.0,691
6.0,692
6.0,693
6.0,694
6.0,695
6.0,696
6.0,697
6.0,698
6.0,699
6.0,700
6.0,701
6.0,702
6.0,703
6.0,704
6.0,705
6.0,706
6.0,707
6.0,708
6.0,709
6.0,710
6.0,711
6.0,712
6.0,713
6.0,714
6.0,715
6.0,716
6.0,717
6.0,718
7.0,719
7.0,720
7.0,721
7.0,722
7.0,723
7.0,724
7.0,725
7.0,726
7.0,727
7.0,728
7.0,729
7.0,730
7.0,731
7.0,732
7.0,733
7.0,734
7.0,735
7.0,736
7.0,737
7.0,738
7.0,739
7.0,740
7.0,741
7.0,742
7.0,743
7.0,744
7.0,745
7.0,746
7.0,747
7.0,748
7.0,749
7.0,750
7.0,751
7.0,752
7.0,753
7.0,754
7.0,755
7.0,756
7.0,757
7.0,758
7.0,759
7.0,760
7.0,761
7.0,762
7.0,763
7.0,764
7.0,765
7.0,766
7.0,767
6.0,768
6.0,769
6.0,770
6.0,771
6.0,772
6.0,773
6.0,774
6.0,775
6.0,776
6.0,777
6.0,778
6.0,779
6.0,780
6.0,781
6.0,782
6.0,783
6.0,784
6.0,785
6.0,786
6.0,787
5.0,788
5.0,789
5.0,790
5.0,791
5.0,792
5.0,793
5.0,794
5.0,795
5.0,796
5.0,797
5.0,798
5.0,799
5.0,800
5.0,801
5.0,802
5.0,803
5.0,804
5.0,805
5.0,806
5.0,807
5.0,808
5.0,809
5.0,810
5.0,811
5.0,812
5.0,813
5.0,814
5.0,815
5.0,816
5.0,817
5.0,818
5.0,819
6.0,820
6.0,821
6.0,822
6.0,823
6.0,824
6.0,825
6.0,826
6.0,827
6.0,828
6.0,829
6.0,830
6.0,831
6.0,832
6.0,833
6.0,834
6.0,835
6.0,836
7.0,837
7.0,838
7.0,839
7.0,840
7.0,841
7.0,842
7.0,843
7.0,844
7.0,845
7.0,846
7.0,847
7.0,848
7.0,849
7.0,850
7.0,851
7.0,852
7.0,853
7.0,854
7.0,855
7.0,856
7.0,857
7.0,858
7.0,859
7.0,860
7.0,861
7.0,862
7.0,863
7.0,864
7.0,865
7.0,866
7.0,867
7.0,868
7.0,869
7.0,870
7.0,871
7.0,872
7.0,873
7.0,874
7.0,875
7.0,876
7.0,877
7.0,878
7.0,879
7.0,880
7.0,881
7.0,882
7.0,883
7.0,884
7.0,885
7.0,886
7.0,887
7.0,888
7.0,889
7.0,890
7.0,891
7.0,892
7.0,893
7.0,894
7.0,895
7.0,896
7.0,897
7.0,898
7.0,899
7.0,900
7.0,901
7.0,902
7.0,903
7.0,904
7.0,905
7.0,906
7.0,907
7.0,908
7.0,909
7.0,910
7.0,911
7.0,912
7.0,913
7.0,914
7.0,915
7.0,916
7.0,917
7.0,918
7.0,919
7.0,920
7.0,921
7.0,922
7.0,923
7.0,924
7.0,925
7.0,926
7.0,927
7.0,928
7.0,929
7.0,930
7.0,931
7.0,932
7.0,933
7.0,934
7.0,935
7.0,936
7.0,937
7.0,938
7.0,939
7.0,940
7.0,941
7.0,942
7.0,943
7.0,944
7.0,945
7.0,946
7.0,947
7.0,948
7.0,949
7.0,950
7.0,951
7.0,952
7.0,953
7.0,954
7.0,955
7.0,956
7.0,957
7.0,958
7.0,959
7.0,960
7.0,961
7.0,962
7.0,963
7.0,964
7.0,965
7.0,966
7.0,967
7.0,968
7.0,969
7.0,970
7.0,971
7.0,972
7.0,973
7.0,974
7.0,975
7.0,976
7.0,977
7.0,978
7.0,979
7.0,980
7.0,981
7.0,982
7.0,983
7.0,984
7.0,985
7.0,986
7.0,987
7.0,988
7.0,989
7.0,990
7.0,991
7.0,992
7.0,993
7.0,994
7.0,995
7.0,996
7.0,997
7.0,998
7.0,999
7.0,1000
7.0,1001
7.0,1002
7.0,1003
7.0,1004
7.0,1005
7.0,1006
7.0,1007
7.0,1008
7.0,1009
7.0,1010
7.0,1011
7.0,1012
7.0,1013
7.0,1014
7.0,1015
7.0,1016
7.0,1017
7.0,1018
7.0,1019
7.0,1020
7.0,1021
7.0,1022
7.0,1023
7.0,1024
7.0,1025
7.0,1026
7.0,1027
7.0,1028
7.0,1029
7.0,1030
7.0,1031
7.0,1032
7.0,1033
7.0,1034
7.0,1035
7.0,1036
7.0,1037
7.0,1038
7.0,1039
7.0,1040
7.0,1041
