Total_Passengers,TIME
12.0,0
18.0,1
31.0,2
31.0,3
19.0,4
19.0,5
12.0,6
0.0,7
0.0,8
1.0,9
1.0,10
1.0,11
2.0,12
1.0,13
0.0,14
6.0,15
13.0,16
13.0,17
13.0,18
13.0,19
7.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
6.0,26
6.0,27
16.0,28
22.0,29
22.0,30
16.0,31
16.0,32
7.0,33
5.0,34
5.0,35
5.0,36
12.0,37
11.0,38
6.0,39
6.0,40
6.0,41
0.0,42
6.0,43
6.0,44
6.0,45
12.0,46
19.0,47
12.0,48
12.0,49
19.0,50
13.0,51
7.0,52
7.0,53
7.0,54
6.0,55
6.0,56
13.0,57
20.0,58
20.0,59
14.0,60
14.0,61
12.0,62
5.0,63
11.0,64
11.0,65
11.0,66
6.0,67
6.0,68
0.0,69
0.0,70
0.0,71
13.0,72
13.0,73
20.0,74
20.0,75
20.0,76
7.0,77
7.0,78
0.0,79
0.0,80
0.0,81
0.0,82
6.0,83
6.0,84
6.0,85
6.0,86
6.0,87
0.0,88
0.0,89
0.0,90
0.0,91
0.0,92
0.0,93
0.0,94
0.0,95
6.0,96
6.0,97
6.0,98
13.0,99
13.0,100
7.0,101
7.0,102
7.0,103
0.0,104
0.0,105
0.0,106
0.0,107
16.0,108
16.0,109
32.0,110
32.0,111
32.0,112
16.0,113
16.0,114
0.0,115
0.0,116
0.0,117
0.0,118
0.0,119
6.0,120
13.0,121
13.0,122
13.0,123
19.0,124
13.0,125
12.0,126
12.0,127
12.0,128
6.0,129
6.0,130
0.0,131
0.0,132
0.0,133
0.0,134
0.0,135
0.0,136
0.0,137
0.0,138
0.0,139
0.0,140
0.0,141
0.0,142
0.0,143
7.0,144
7.0,145
7.0,146
7.0,147
7.0,148
0.0,149
0.0,150
0.0,151
0.0,152
0.0,153
0.0,154
0.0,155
0.0,156
7.0,157
7.0,158
7.0,159
7.0,160
7.0,161
0.0,162
0.0,163
6.0,164
6.0,165
6.0,166
16.0,167
16.0,168
10.0,169
10.0,170
10.0,171
0.0,172
0.0,173
0.0,174
0.0,175
0.0,176
0.0,177
0.0,178
0.0,179
0.0,180
5.0,181
5.0,182
11.0,183
18.0,184
18.0,185
13.0,186
13.0,187
6.0,188
0.0,189
0.0,190
0.0,191
0.0,192
0.0,193
20.0,194
20.0,195
20.0,196
20.0,197
20.0,198
0.0,199
0.0,200
0.0,201
0.0,202
0.0,203
0.0,204
0.0,205
0.0,206
0.0,207
0.0,208
0.0,209
0.0,210
0.0,211
0.0,212
0.0,213
0.0,214
0.0,215
8.0,216
8.0,217
8.0,218
8.0,219
8.0,220
0.0,221
0.0,222
6.0,223
6.0,224
6.0,225
6.0,226
6.0,227
0.0,228
0.0,229
0.0,230
0.0,231
0.0,232
0.0,233
0.0,234
0.0,235
0.0,236
0.0,237
0.0,238
0.0,239
0.0,240
0.0,241
0.0,242
0.0,243
0.0,244
0.0,245
0.0,246
0.0,247
0.0,248
0.0,249
0.0,250
0.0,251
0.0,252
0.0,253
6.0,254
6.0,255
6.0,256
6.0,257
12.0,258
6.0,259
6.0,260
6.0,261
6.0,262
0.0,263
0.0,264
0.0,265
0.0,266
0.0,267
0.0,268
0.0,269
0.0,270
6.0,271
6.0,272
6.0,273
6.0,274
6.0,275
0.0,276
0.0,277
0.0,278
0.0,279
0.0,280
0.0,281
0.0,282
0.0,283
0.0,284
0.0,285
0.0,286
0.0,287
0.0,288
0.0,289
0.0,290
0.0,291
0.0,292
0.0,293
7.0,294
7.0,295
7.0,296
7.0,297
7.0,298
0.0,299
0.0,300
0.0,301
0.0,302
0.0,303
0.0,304
0.0,305
0.0,306
0.0,307
0.0,308
0.0,309
10.0,310
10.0,311
10.0,312
10.0,313
10.0,314
0.0,315
0.0,316
0.0,317
0.0,318
0.0,319
0.0,320
0.0,321
0.0,322
0.0,323
0.0,324
0.0,325
0.0,326
0.0,327
0.0,328
0.0,329
0.0,330
0.0,331
0.0,332
0.0,333
0.0,334
0.0,335
0.0,336
0.0,337
0.0,338
0.0,339
0.0,340
0.0,341
0.0,342
0.0,343
0.0,344
0.0,345
0.0,346
0.0,347
0.0,348
0.0,349
0.0,350
0.0,351
0.0,352
0.0,353
0.0,354
0.0,355
0.0,356
0.0,357
0.0,358
0.0,359
0.0,360
0.0,361
0.0,362
0.0,363
0.0,364
0.0,365
0.0,366
0.0,367
0.0,368
0.0,369
0.0,370
0.0,371
0.0,372
0.0,373
6.0,374
6.0,375
6.0,376
6.0,377
6.0,378
0.0,379
7.0,380
7.0,381
7.0,382
7.0,383
7.0,384
0.0,385
0.0,386
0.0,387
0.0,388
0.0,389
0.0,390
0.0,391
0.0,392
0.0,393
0.0,394
0.0,395
0.0,396
0.0,397
0.0,398
0.0,399
0.0,400
0.0,401
0.0,402
0.0,403
0.0,404
0.0,405
0.0,406
0.0,407
4.0,408
11.0,409
11.0,410
11.0,411
11.0,412
7.0,413
0.0,414
0.0,415
0.0,416
0.0,417
0.0,418
0.0,419
0.0,420
0.0,421
0.0,422
0.0,423
0.0,424
0.0,425
0.0,426
6.0,427
6.0,428
13.0,429
13.0,430
13.0,431
7.0,432
13.0,433
13.0,434
13.0,435
13.0,436
19.0,437
13.0,438
6.0,439
6.0,440
6.0,441
0.0,442
0.0,443
0.0,444
0.0,445
0.0,446
0.0,447
0.0,448
0.0,449
0.0,450
0.0,451
0.0,452
0.0,453
0.0,454
0.0,455
0.0,456
0.0,457
0.0,458
0.0,459
0.0,460
7.0,461
7.0,462
7.0,463
7.0,464
7.0,465
0.0,466
0.0,467
0.0,468
0.0,469
0.0,470
0.0,471
0.0,472
0.0,473
0.0,474
0.0,475
0.0,476
0.0,477
0.0,478
0.0,479
0.0,480
0.0,481
0.0,482
6.0,483
6.0,484
6.0,485
6.0,486
12.0,487
6.0,488
6.0,489
6.0,490
6.0,491
0.0,492
6.0,493
13.0,494
13.0,495
13.0,496
19.0,497
13.0,498
6.0,499
6.0,500
6.0,501
0.0,502
6.0,503
6.0,504
6.0,505
6.0,506
6.0,507
0.0,508
0.0,509
0.0,510
0.0,511
0.0,512
6.0,513
6.0,514
6.0,515
9.0,516
15.0,517
8.0,518
8.0,519
9.0,520
6.0,521
0.0,522
0.0,523
6.0,524
6.0,525
6.0,526
6.0,527
6.0,528
0.0,529
6.0,530
6.0,531
6.0,532
6.0,533
12.0,534
6.0,535
6.0,536
6.0,537
12.0,538
6.0,539
6.0,540
19.0,541
19.0,542
13.0,543
13.0,544
20.0,545
7.0,546
7.0,547
7.0,548
7.0,549
0.0,550
6.0,551
6.0,552
6.0,553
6.0,554
6.0,555
0.0,556
0.0,557
7.0,558
7.0,559
17.0,560
17.0,561
17.0,562
10.0,563
16.0,564
6.0,565
6.0,566
6.0,567
6.0,568
7.0,569
13.0,570
13.0,571
13.0,572
15.0,573
8.0,574
2.0,575
2.0,576
9.0,577
7.0,578
8.0,579
8.0,580
8.0,581
8.0,582
8.0,583
6.0,584
6.0,585
6.0,586
0.0,587
0.0,588
0.0,589
0.0,590
0.0,591
0.0,592
0.0,593
6.0,594
6.0,595
6.0,596
6.0,597
6.0,598
0.0,599
0.0,600
0.0,601
0.0,602
0.0,603
0.0,604
0.0,605
6.0,606
6.0,607
6.0,608
6.0,609
6.0,610
7.0,611
7.0,612
13.0,613
13.0,614
19.0,615
13.0,616
18.0,617
13.0,618
12.0,619
6.0,620
6.0,621
0.0,622
0.0,623
0.0,624
0.0,625
1.0,626
1.0,627
1.0,628
2.0,629
1.0,630
1.0,631
1.0,632
1.0,633
2.0,634
1.0,635
6.0,636
6.0,637
6.0,638
15.0,639
15.0,640
16.0,641
16.0,642
23.0,643
14.0,644
14.0,645
