Total_Passengers,TIME
39,0
61,1
103,2
102,3
63,4
64,5
41,6
0,7
0,8
4,9
4,10
4,11
5,12
4,13
0,14
20,15
44,16
44,17
44,18
44,19
24,20
0,21
0,22
0,23
0,24
0,25
20,26
20,27
52,28
74,29
74,30
55,31
54,32
22,33
18,34
18,35
17,36
39,37
38,38
21,39
21,40
21,41
0,42
21,43
21,44
21,45
41,46
62,47
40,48
40,49
64,50
44,51
23,52
23,53
23,54
21,55
21,56
44,57
67,58
67,59
46,60
46,61
40,62
18,63
37,64
37,65
37,66
20,67
19,68
0,69
0,70
0,71
42,72
42,73
66,74
66,75
65,76
23,77
23,78
0,79
0,80
0,81
0,82
21,83
21,84
21,85
21,86
21,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
20,96
20,97
19,98
43,99
42,100
23,101
23,102
23,103
0,104
0,105
0,106
0,107
54,108
54,109
107,110
107,111
107,112
54,113
53,114
0,115
0,116
0,117
0,118
0,119
21,120
44,121
44,122
44,123
64,124
42,125
39,126
39,127
39,128
20,129
19,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
23,144
23,145
23,146
23,147
23,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
23,157
23,158
23,159
23,160
23,161
0,162
0,163
20,164
20,165
19,166
54,167
54,168
34,169
34,170
34,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
18,181
18,182
38,183
60,184
60,185
42,186
42,187
21,188
0,189
0,190
0,191
0,192
0,193
68,194
68,195
67,196
68,197
67,198
0,199
0,200
0,201
0,202
0,203
0,204
0,205
0,206
0,207
0,208
0,209
0,210
0,211
0,212
0,213
0,214
0,215
27,216
27,217
27,218
27,219
27,220
0,221
0,222
20,223
20,224
19,225
20,226
19,227
0,228
0,229
0,230
0,231
0,232
0,233
0,234
0,235
0,236
0,237
0,238
0,239
0,240
0,241
0,242
0,243
0,244
0,245
0,246
0,247
0,248
0,249
0,250
0,251
0,252
0,253
20,254
20,255
19,256
20,257
39,258
20,259
19,260
20,261
19,262
0,263
0,264
0,265
0,266
0,267
0,268
0,269
0,270
21,271
21,272
21,273
21,274
21,275
0,276
0,277
0,278
0,279
0,280
0,281
0,282
0,283
0,284
0,285
0,286
0,287
0,288
0,289
0,290
0,291
0,292
0,293
23,294
23,295
23,296
23,297
23,298
0,299
0,300
0,301
0,302
0,303
0,304
0,305
0,306
0,307
0,308
0,309
32,310
32,311
32,312
33,313
32,314
0,315
0,316
0,317
0,318
0,319
0,320
0,321
0,322
0,323
0,324
0,325
0,326
0,327
0,328
0,329
0,330
0,331
0,332
0,333
0,334
0,335
0,336
0,337
0,338
0,339
0,340
0,341
0,342
0,343
0,344
0,345
0,346
0,347
0,348
0,349
0,350
0,351
0,352
0,353
0,354
0,355
0,356
0,357
0,358
0,359
0,360
0,361
0,362
0,363
0,364
0,365
0,366
0,367
0,368
0,369
0,370
0,371
0,372
0,373
21,374
21,375
21,376
21,377
21,378
0,379
23,380
23,381
23,382
23,383
23,384
0,385
0,386
0,387
0,388
0,389
0,390
0,391
0,392
0,393
0,394
0,395
0,396
0,397
0,398
0,399
0,400
0,401
0,402
0,403
0,404
0,405
0,406
0,407
14,408
37,409
37,410
37,411
37,412
23,413
0,414
0,415
0,416
0,417
0,418
0,419
0,420
0,421
0,422
0,423
0,424
0,425
0,426
21,427
21,428
44,429
44,430
44,431
23,432
44,433
42,434
42,435
42,436
63,437
42,438
21,439
21,440
21,441
0,442
0,443
0,444
0,445
0,446
0,447
0,448
0,449
0,450
0,451
0,452
0,453
0,454
0,455
