Total_Passengers,TIME
10,0
10,1
10,2
10,3
10,4
10,5
10,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
8,56
8,57
8,58
8,59
8,60
8,61
9,62
9,63
9,64
9,65
9,66
9,67
9,68
9,69
9,70
9,71
9,72
9,73
10,74
10,75
10,76
10,77
10,78
10,79
10,80
10,81
10,82
10,83
10,84
10,85
10,86
10,87
10,88
10,89
10,90
10,91
10,92
10,93
10,94
10,95
10,96
10,97
10,98
10,99
10,100
10,101
10,102
10,103
10,104
10,105
10,106
10,107
10,108
10,109
10,110
10,111
9,112
9,113
9,114
9,115
9,116
9,117
9,118
9,119
9,120
9,121
9,122
9,123
9,124
9,125
9,126
9,127
9,128
9,129
9,130
9,131
10,132
10,133
10,134
10,135
10,136
10,137
10,138
11,139
11,140
11,141
11,142
11,143
12,144
12,145
12,146
12,147
13,148
13,149
13,150
14,151
14,152
14,153
15,154
15,155
16,156
16,157
16,158
17,159
17,160
18,161
18,162
19,163
19,164
20,165
20,166
21,167
21,168
22,169
22,170
23,171
23,172
24,173
24,174
25,175
25,176
26,177
27,178
27,179
28,180
28,181
29,182
29,183
30,184
30,185
31,186
31,187
32,188
32,189
33,190
33,191
34,192
34,193
35,194
35,195
36,196
36,197
36,198
37,199
37,200
37,201
38,202
38,203
38,204
38,205
39,206
39,207
39,208
39,209
39,210
39,211
40,212
40,213
40,214
40,215
40,216
40,217
40,218
40,219
40,220
39,221
39,222
39,223
39,224
39,225
39,226
39,227
39,228
38,229
38,230
38,231
38,232
38,233
37,234
37,235
37,236
37,237
37,238
36,239
36,240
36,241
36,242
35,243
35,244
35,245
35,246
35,247
34,248
34,249
34,250
34,251
34,252
33,253
33,254
33,255
33,256
33,257
33,258
32,259
32,260
32,261
32,262
32,263
32,264
32,265
32,266
32,267
32,268
32,269
31,270
31,271
31,272
31,273
31,274
31,275
31,276
31,277
31,278
32,279
32,280
32,281
32,282
32,283
32,284
32,285
32,286
32,287
32,288
32,289
32,290
32,291
32,292
32,293
32,294
33,295
33,296
33,297
33,298
33,299
33,300
33,301
33,302
33,303
33,304
33,305
33,306
33,307
34,308
34,309
34,310
34,311
34,312
34,313
34,314
34,315
34,316
34,317
34,318
34,319
34,320
34,321
34,322
34,323
34,324
34,325
34,326
34,327
33,328
33,329
33,330
33,331
33,332
33,333
33,334
33,335
33,336
32,337
32,338
32,339
32,340
32,341
32,342
32,343
31,344
31,345
31,346
31,347
31,348
30,349
30,350
30,351
30,352
30,353
29,354
29,355
29,356
29,357
29,358
28,359
28,360
28,361
28,362
27,363
27,364
27,365
27,366
27,367
26,368
26,369
26,370
26,371
26,372
25,373
25,374
25,375
25,376
25,377
24,378
24,379
24,380
24,381
24,382
24,383
23,384
23,385
23,386
23,387
23,388
23,389
23,390
22,391
22,392
22,393
22,394
22,395
22,396
22,397
22,398
22,399
22,400
22,401
22,402
22,403
22,404
22,405
21,406
21,407
21,408
21,409
21,410
21,411
21,412
21,413
21,414
21,415
21,416
21,417
22,418
22,419
22,420
22,421
22,422
22,423
22,424
22,425
22,426
22,427
22,428
22,429
22,430
22,431
22,432
22,433
22,434
22,435
22,436
22,437
23,438
23,439
23,440
23,441
23,442
23,443
23,444
23,445
23,446
23,447
23,448
24,449
24,450
24,451
24,452
24,453
24,454
24,455
24,456
24,457
24,458
25,459
25,460
25,461
25,462
25,463
25,464
25,465
25,466
25,467
25,468
25,469
25,470
25,471
25,472
25,473
25,474
25,475
25,476
25,477
25,478
25,479
25,480
25,481
25,482
25,483
25,484
25,485
25,486
25,487
25,488
24,489
24,490
24,491
24,492
24,493
24,494
24,495
24,496
23,497
23,498
23,499
23,500
23,501
23,502
23,503
22,504
22,505
22,506
22,507
22,508
22,509
22,510
21,511
21,512
21,513
21,514
21,515
21,516
21,517
21,518
21,519
21,520
21,521
21,522
21,523
21,524
21,525
21,526
21,527
21,528
21,529
21,530
21,531
21,532
21,533
21,534
21,535
21,536
21,537
21,538
21,539
21,540
21,541
21,542
21,543
21,544
21,545
21,546
22,547
22,548
22,549
22,550
22,551
22,552
22,553
22,554
22,555
22,556
23,557
23,558
23,559
23,560
23,561
23,562
23,563
23,564
23,565
24,566
24,567
24,568
24,569
24,570
24,571
24,572
24,573
24,574
25,575
25,576
25,577
25,578
25,579
25,580
25,581
26,582
26,583
26,584
26,585
26,586
26,587
26,588
27,589
27,590
27,591
27,592
27,593
27,594
27,595
28,596
28,597
28,598
28,599
28,600
28,601
28,602
29,603
29,604
29,605
29,606
29,607
29,608
29,609
29,610
29,611
30,612
30,613
30,614
30,615
30,616
30,617
30,618
30,619
30,620
30,621
30,622
30,623
30,624
30,625
30,626
30,627
30,628
30,629
30,630
30,631
30,632
30,633
29,634
29,635
29,636
29,637
29,638
29,639
29,640
28,641
28,642
28,643
28,644
28,645
28,646
27,647
27,648
27,649
27,650
27,651
26,652
26,653
26,654
26,655
25,656
25,657
25,658
25,659
25,660
24,661
24,662
24,663
24,664
24,665
23,666
23,667
23,668
23,669
23,670
23,671
22,672
22,673
22,674
22,675
22,676
22,677
22,678
22,679
22,680
21,681
21,682
21,683
21,684
21,685
21,686
21,687
21,688
21,689
21,690
21,691
21,692
21,693
21,694
21,695
21,696
21,697
21,698
21,699
21,700
21,701
21,702
21,703
21,704
21,705
21,706
21,707
21,708
21,709
21,710
21,711
21,712
21,713
21,714
21,715
21,716
21,717
21,718
22,719
22,720
22,721
22,722
22,723
22,724
22,725
22,726
22,727
22,728
22,729
22,730
22,731
22,732
22,733
22,734
22,735
22,736
22,737
23,738
23,739
23,740
23,741
23,742
23,743
23,744
23,745
23,746
23,747
23,748
23,749
23,750
23,751
23,752
23,753
23,754
23,755
23,756
22,757
22,758
22,759
22,760
22,761
22,762
22,763
22,764
22,765
22,766
22,767
21,768
21,769
21,770
21,771
21,772
21,773
21,774
20,775
20,776
20,777
20,778
20,779
20,780
19,781
19,782
19,783
19,784
19,785
19,786
19,787
18,788
18,789
18,790
18,791
18,792
18,793
18,794
18,795
18,796
18,797
18,798
17,799
17,800
17,801
17,802
17,803
17,804
17,805
17,806
17,807
17,808
17,809
18,810
18,811
18,812
18,813
18,814
18,815
18,816
18,817
18,818
18,819
19,820
19,821
19,822
19,823
19,824
19,825
20,826
20,827
20,828
20,829
20,830
20,831
21,832
21,833
21,834
21,835
21,836
22,837
22,838
22,839
22,840
22,841
22,842
23,843
23,844
23,845
23,846
23,847
23,848
23,849
24,850
24,851
24,852
24,853
24,854
24,855
24,856
24,857
24,858
24,859
24,860
24,861
24,862
24,863
24,864
24,865
24,866
24,867
24,868
24,869
24,870
24,871
24,872
24,873
24,874
24,875
24,876
24,877
24,878
24,879
24,880
24,881
24,882
24,883
24,884
24,885
24,886
24,887
24,888
24,889
24,890
24,891
24,892
24,893
24,894
24,895
24,896
24,897
24,898
24,899
24,900
24,901
24,902
24,903
24,904
24,905
24,906
24,907
24,908
24,909
24,910
24,911
24,912
24,913
24,914
24,915
24,916
24,917
24,918
24,919
24,920
24,921
24,922
24,923
24,924
24,925
24,926
24,927
24,928
24,929
24,930
24,931
24,932
24,933
24,934
24,935
24,936
24,937
24,938
24,939
24,940
24,941
24,942
24,943
24,944
24,945
24,946
24,947
24,948
24,949
24,950
24,951
24,952
23,953
23,954
23,955
23,956
23,957
23,958
23,959
23,960
23,961
23,962
23,963
23,964
23,965
23,966
23,967
23,968
23,969
23,970
23,971
23,972
23,973
23,974
23,975
23,976
23,977
23,978
23,979
23,980
23,981
23,982
23,983
23,984
23,985
23,986
23,987
23,988
23,989
23,990
23,991
23,992
23,993
23,994
23,995
23,996
23,997
23,998
23,999
23,1000
23,1001
23,1002
23,1003
23,1004
23,1005
23,1006
23,1007
23,1008
23,1009
23,1010
23,1011
23,1012
23,1013
23,1014
23,1015
23,1016
23,1017
