TIMEINT_MINUTES,1,2,3,4,5,6,7,8,9,TIMEINT
2.5,0.0,0.46,20.62,7.12,0.0,0.0,0.0,0.0,0.0,0-5
7.5,13.58,29.35,97.29,73.97,21.46,0.0,0.0,0.07,0.0,5-10
12.5,33.04,65.58,128.91,76.9,41.21,0.0,0.0,0.0,0.0,10-15
17.5,29.39,63.57,126.98,76.94,41.4,0.0,0.0,0.0,0.0,15-20
22.5,40.37,61.26,103.66,76.5,41.4,0.0,0.0,0.0,0.0,20-25
27.5,40.3,67.68,113.2,78.65,41.4,0.0,0.0,0.0,0.0,25-30
32.5,34.58,63.88,119.32,79.44,41.4,0.0,0.0,0.0,0.0,30-35
37.5,42.0,61.44,126.0,78.13,41.4,0.0,0.0,0.0,0.0,35-40
42.5,43.05,56.09,142.41,78.87,41.4,0.0,0.0,0.0,0.0,40-45
47.5,50.21,52.84,131.66,75.2,39.63,0.0,0.0,0.0,0.0,45-50
52.5,53.46,56.6,114.25,72.68,35.08,0.0,0.0,0.0,0.0,50-55
57.5,55.92,56.19,119.48,78.39,40.84,0.0,0.0,0.0,0.0,55-60
62.5,62.14,60.12,123.61,78.83,39.84,0.0,0.0,0.0,0.0,60-65
67.5,62.97,53.26,112.81,74.3,38.57,0.0,0.0,0.0,0.05,65-70
72.5,61.41,47.96,107.84,53.81,40.52,0.0,0.0,0.0,0.0,70-75
77.5,69.67,44.73,92.42,25.97,37.32,0.0,0.0,0.0,0.0,75-80
82.5,85.34,32.77,83.45,10.72,38.79,0.0,0.0,0.0,0.0,80-85
87.5,91.95,32.77,74.69,1.16,41.57,0.0,0.0,0.0,0.0,85-90
92.5,85.71,32.77,64.14,1.13,41.57,0.0,0.0,0.0,0.0,90-95
97.5,90.95,26.69,43.41,0.0,36.52,0.0,0.0,0.0,0.0,95-100
102.5,94.92,22.61,41.21,0.0,41.42,0.0,0.0,0.0,0.0,100-105
107.5,97.61,14.92,34.8,0.0,41.42,0.0,0.0,0.0,0.0,105-110
112.5,97.61,14.92,34.8,0.0,41.42,0.0,0.0,0.0,0.0,110-115
117.5,93.93,14.92,25.05,0.0,41.42,0.0,0.0,0.0,0.0,115-120
122.5,91.2,12.83,10.1,0.0,41.42,0.0,0.0,0.0,0.0,120-125
127.5,93.66,1.7,1.0,0.0,36.68,0.0,0.0,0.0,0.0,125-130
132.5,90.39,0.0,0.0,0.0,39.05,0.0,0.0,0.0,0.0,130-135
137.5,84.6,0.0,0.0,0.0,41.62,0.0,0.0,0.0,0.0,135-140
142.5,87.83,0.0,0.0,0.0,41.62,0.0,0.0,0.0,0.0,140-145
147.5,88.02,0.0,0.0,0.0,38.32,0.0,0.0,0.0,0.0,145-150
152.5,89.88,0.0,0.0,0.0,41.64,0.0,0.0,0.0,0.0,150-155
157.5,89.88,0.0,0.0,0.0,41.64,0.0,0.0,0.0,0.0,155-160
162.5,89.95,0.0,4.82,0.0,41.64,0.0,0.0,0.0,0.0,160-165
167.5,88.98,0.0,39.99,0.0,41.64,0.0,0.0,0.0,0.0,165-170
172.5,88.65,0.0,57.55,0.0,41.64,0.0,0.0,0.0,0.0,170-175
177.5,101.59,0.0,82.32,0.0,41.64,0.0,0.0,0.0,0.0,175-180
182.5,96.01,0.0,112.63,0.0,38.67,0.0,0.0,0.0,0.0,180-185
187.5,89.51,0.0,111.76,0.0,41.32,0.0,0.0,0.0,0.0,185-190
192.5,89.51,0.0,109.49,0.0,41.86,0.0,0.0,0.0,0.0,190-195
197.5,87.35,0.0,120.01,0.0,41.86,0.0,0.0,0.0,0.0,195-200
202.5,83.42,0.0,120.22,0.0,31.88,0.0,0.0,0.0,0.0,200-205
207.5,82.91,0.0,136.99,0.0,35.54,0.0,0.0,0.0,0.0,205-210
212.5,79.04,0.0,150.24,0.0,35.54,0.0,0.0,0.05,0.0,210-215
217.5,77.63,0.0,150.93,0.11,35.54,0.0,0.0,0.0,0.0,215-220
222.5,77.63,0.0,151.25,0.0,35.54,0.0,0.0,0.0,0.0,220-225
227.5,77.63,0.0,157.41,0.0,35.54,0.0,0.0,0.0,0.0,225-230
232.5,73.78,0.0,163.22,0.0,35.54,0.0,0.0,0.0,0.0,230-235
237.5,76.34,0.0,168.19,0.0,35.54,0.0,0.0,0.0,0.0,235-240
242.5,77.22,0.0,173.35,0.0,35.54,0.0,0.0,0.0,0.0,240-245
247.5,77.22,0.0,183.34,0.0,35.54,0.0,0.0,0.0,0.0,245-250
252.5,77.22,0.0,185.56,3.54,35.54,0.0,0.0,0.0,0.0,250-255
257.5,77.22,0.0,194.73,28.98,35.54,0.0,0.0,0.0,0.0,255-260
262.5,77.22,0.0,211.54,47.62,35.54,0.0,0.0,0.0,0.0,260-265
267.5,76.82,0.0,220.85,64.66,34.81,0.0,0.0,0.0,0.0,265-270
272.5,70.87,0.0,220.85,79.8,31.36,0.0,0.0,0.0,0.0,270-275
277.5,66.01,0.12,204.31,80.25,31.9,0.0,0.0,0.0,0.0,275-280
282.5,64.81,0.0,198.36,80.07,34.82,0.0,0.0,0.0,0.0,280-285
287.5,63.36,0.0,204.23,80.09,36.11,0.0,0.0,0.0,0.0,285-290
